REQUEST-DATE,ORDER-ID,SHIPMENT-DATE,SKU,FNSKU,DISPOSITION,SHIPPED-QUANTITY,CARRIER,TRACKING-NUMBER,REMOVAL-ORDER-TYPE,TRACKING STATUS,DELIVERY DATE,NAV CODE,NAV DESCRIPTION,ASIN,PACK SIZE,TOTAL SINGLE QTY,REASON FOR RECALL,DATE OF SCAN,EAN # OF RECEIVED ITEM (FOR WH),QTY RECEIVED WITH PK SIZE (FOR WH),QTY RECEIVED (SINGLE),SELLABLE QTY (FOR WH),DAMAGE QTY (FOR WH),EXPIRED QTY (FOR WH),EXPIRY DATE (FOR WH),BOX NO (FOR WH),PALLET NO (FOR WH),QTY MISSING WITH PK SIZE (FOR WH),MISSING (SINGLE QTY),COMMENTS FROM W/H,COMMENTS,FBA ID,UNITS SEND IN FBA,UNITS SEND IN (SINGLE),QTY REMANING WITH PK SIZE (FOR WH),REMANING QTY (SINGLE),IMAGES FOR DAMAGE PRODUCT,CASE ID,REIMBURSEMENT ID & AMOUNT,NEW NAV CODE,NEW SKU,NEW ASIN,RECALL POST IN NAV,NEG/POS,INVOICE NUMBER,UNIT COST AS PER SKU,TOTAL AMOUNT REMAININGIN WH,TOTAL PENDING/MISSING,Account,CASE ID,REIMBURSHMENT ID,REIMBURSEMENT AMOUNT,CASE QTY,REIMBURSEMENT QTY,Sr. No
4/1/2023,SEG_DE,16-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,7,DRUDE,340312891060136000,Return,| 00340312891060136541 - Not Found - NA |,NOT FOUND,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,70,Wrong packingin from warehuse,20/1/2023,8.00341E+12,0,36,36,,,1/8/2024,1,5,3,34,,,FBA15GPL74JV,3,36,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,162.588,Jambo - UK,9397384232,5011302172,£293.44,7,7,1
4/1/2023,SEG_DE,23-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,DRUDE,340312891830061000,Return,| 00340312891830061740 - Delivered - NA |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,2,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,2
4/1/2023,SEG_DE,23-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,DRUDE,340312891830061000,Return,|00340312891830061721 - Delivered - NA |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,3,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,3
4/1/2023,SEG_DE,24-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,DRUDE,340312891830061000,Return,| 00340312891830061704 - Delivered - NA |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,4,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,4
4/1/2023,SEG_DE,24-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,DRUDE,340312891830061000,Return,| 00340312891830061656 - Delivered - NA |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,5,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,5
4/1/2023,SEG_DE,24-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,"DRUDE, DRUDE",340312891830061000,Return,| 00340312891830061681 - Delivered - 26-01-2023 | 00340312891830061711 - Delivered - 26-01-2023 |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,1,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,6
4/1/2023,SEG_DE,24-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,DRUDE,340312891830061000,Return,| 00340312891830061699 - Delivered - 26-01-2023 |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,33,360,360,,,1/8/2024,1,8,3,30,,,FBA15GPL74JV,36,360,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,143.46,Jambo - UK,8520261392 / 9569181372,,,39,,7
4/1/2023,SEG_DE,26-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,39,"DRUDE, DRUDE","00340312891830061675, 00340312891830061651",Return,| 00340312891830061675 - Delivered - 30-01-2023 | 00340312891830061651 - Delivered - 27-01-2023 |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,390,Wrong packingin from warehuse,27/01/2023,8.00341E+12,39,390,390,,,1/8/2024,1,6,0,0,,,FBA15GPL74JV,39,390,0,0,,,,,RC-GER-0006-P-24,B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,8
4/1/2023,SEG_DE,26-01-2023,JMB-DE-1697-P-10,X001E14V1L,Unsellable,26,DRUDE,340312891830061000,Return,| 00340312891830061683 - Delivered - NA |,DELIVERED,30326,SEGAFREDO INTERMEZZO BEANS 1KG (PK-10),B01LAXMWLA,10,260,Wrong packingin from warehuse,27/01/2023,8.00341E+12,26,260,260,,,1/8/2024,1,7,0,0,,,FBA15GPL7N24,26,260,0,0,,,,,RC-GER-0007 - 20 Qty | RC-GER-0006-P-24 - 240 - Qty,B000FWHX12 | B00OHMJJOU,,,,47.8,0,0,Jambo - UK,,,,,,9
30-01-2023,qi4RMmrxdI,30-01-2023,JMB-UK-6847,X001G96KZ1,Sellable,2,AMZN,QA0842375883,Return,| QA0842375883 - Not Found - NA |,NOT FOUND,29984,MEDIK8 CRYSTAL RETINAL 10 30ML (1),B084TCMJ57,1,2,Auto return by amazon,,,0,,0,,,,,,0,2,,,,0,,0,0,,,,,,,,,,40.1,0,0,Jambo - UK,9397587712 / 9568908272,,,2,,10
